nome macchina,Files & media,Select,aria condizionata,cambio,carburante,dal 10/01 al 15/07,dal 15/07 al 05/09,dal 20/12 al 10/01 (periodo capodanno),dal 5/09 al 20/12,franchigia/gg,numero porte,numero posti
Dacia Sandero,,economica,Yes,manuale,benzina,"2 to 5 Days :   38 €
6 to 20 Days :   36 €
More than 20 Days :   33 €","2 to 5 Days :   42 €
6 to 20 Days :   41 €
More than 20 Days :   40 €","2 to 5 Days :   40 €
6 to 20 Days :   38 €
More than 20 Days :   36 €","2 to 5 Days :   38 €
6 to 20 Days :   35 €
More than 20 Days :   32 €",€6.00,5,5
Peugeot 208,,economica,Yes,manuale,diesel,"2 to 5 Days :   45 €
6 to 20 Days :   42 €
More than 20 Days :   40 €","2 to 5 Days :   50 €
6 to 20 Days :   48 €
More than 20 Days :   48 €","2 to 5 Days :   45 €
6 to 20 Days :   40 €
More than 20 Days :   38 €","2 to 5 Days :   42 €
6 to 20 Days :   39 €
More than 20 Days :   37 €",€6.00,5,5
Renault Clio 5,,economica,Yes,manuale,diesel,"2 to 5 Days :   50 €
6 to 20 Days :   48 €
More than 20 Days :   48 €","2 to 5 Days :   43 €
6 to 20 Days :   40 €
More than 20 Days :   38 €","2 to 5 Days :   45 €
6 to 20 Days :   42 €
More than 20 Days :   40 €","2 to 5 Days :   43 €
6 to 20 Days :   40 €
More than 20 Days :   38 €",€7.00,5,5
T-roc,,Premium,Yes,automatica,diesel,"2 to 5 Days :   70 €
6 to 20 Days :   68 €
More than 20 Days :   63 €","2 to 5 Days :   80 €
6 to 20 Days :   75 €
More than 20 Days :   72 €","2 to 5 Days :   75 €
6 to 20 Days :   72 €
More than 20 Days :   68 €","2 to 5 Days :   70 €
6 to 20 Days :   65 €
More than 20 Days :   60 €",€12.00,5,5
Touareg,,Premium,Yes,automatica,diesel,"2 to 5 Days :   115 €
6 to 20 Days :   110 €
More than 20 Days :   105 €","2 to 5 Days :   109 €
6 to 20 Days :   100 €
More than 20 Days :   95 €","2 to 5 Days :   115 €
6 to 20 Days :   105 €
More than 20 Days :   100 €","2 to 5 Days :   110 €
6 to 20 Days :   105 €
More than 20 Days :   100 €",€20.00,5,5
Dacia logan,,economica,Yes,automatica,benzina,"2 to 5 Days :   43 €
6 to 20 Days :   39 €
More than 20 Days :   37 €","2 to 5 Days :   46 €
6 to 20 Days :   44 €
More than 20 Days :   44 €","2 to 5 Days :   45 €
6 to 20 Days :   40 €
More than 20 Days :   38 €","2 to 5 Days :   42 €
6 to 20 Days :   39 €
More than 20 Days :   37 €",€6.00,5,5
Dacia Logan,,economica,Yes,manuale,benzina,"2 to 5 Days :   39 €
6 to 20 Days :   37 €
More than 20 Days :   36 €","2 to 5 Days :   43 €
6 to 20 Days :   42 €
More than 20 Days :   40 €","2 to 5 Days :   41 €
6 to 20 Days :   38 €
More than 20 Days :   36 €","2 to 5 Days :   39 €
6 to 20 Days :   36 €
More than 20 Days :   33 €",€6.00,5,5
Citroen C3,,economica,Yes,manuale,diesel,"2 to 5 Days :   43 €
6 to 20 Days :   38 €
More than 20 Days :   36 €","2 to 5 Days :   48 €
6 to 20 Days :   46 €
More than 20 Days :   46 €","2 to 5 Days :   45 €
6 to 20 Days :   40 €
More than 20 Days :   38 €","2 to 5 Days :   42 €
6 to 20 Days :   38 €
More than 20 Days :   36 €",€6.00,5,5
Citroen C Elysee,,economica,Yes,manuale,diesel,"2 to 5 Days :   42 €
6 to 20 Days :   39 €
More than 20 Days :   38 €","2 to 5 Days :   46 €
6 to 20 Days :   44 €
More than 20 Days :   44 €","2 to 5 Days :   43 €
6 to 20 Days :   40 €
More than 20 Days :   39 €","2 to 5 Days :   42 €
6 to 20 Days :   38 €
More than 20 Days :   36 €",€6.00,5,5
Dacia Logan,,economica,Yes,manuale,diesel,"2 to 5 Days :   41 €
6 to 20 Days :   40 €
More than 20 Days :   36 €","2 to 5 Days :   46 €
6 to 20 Days :   44 €
More than 20 Days :   44 €","2 to 5 Days :   43 €
6 to 20 Days :   39 €
More than 20 Days :   38 €","2 to 5 Days :   40 €
6 to 20 Days :   38 €
More than 20 Days :   35 €",€6.00,5,5
Dacia lodgy,,suv,Yes,manuale,diesel,"2 to 5 Days :   65 €
6 to 20 Days :   62 €
More than 20 Days :   60 €","2 to 5 Days :   55 €
6 to 20 Days :   48 €
More than 20 Days :   45 €","2 to 5 Days :   58 €
6 to 20 Days :   50 €
More than 20 Days :   48 €","2 to 5 Days :   53 €
6 to 20 Days :   48 €
More than 20 Days :   45 €",€8.00,5,7
Clio 5,,economica,Yes,automatica,benzina,"2 to 5 Days :   45 €
6 to 20 Days :   42 €
More than 20 Days :   39 €","2 to 5 Days :   50 €
6 to 20 Days :   48 €
More than 20 Days :   48 €","2 to 5 Days :   48 €
6 to 20 Days :   45 €
More than 20 Days :   40 €","2 to 5 Days :   45 €
6 to 20 Days :   43 €
More than 20 Days :   38 €",€7.00,5,5
Kia picanto,,economica,Yes,automatica,benzina,"2 to 5 Days :   42 €
6 to 20 Days :   38 €
More than 20 Days :   36 €","2 to 5 Days :   45 €
6 to 20 Days :   43 €
More than 20 Days :   42 €","2 to 5 Days :   43 €
6 to 20 Days :   40 €
More than 20 Days :   38 €","2 to 5 Days :   40 €
6 to 20 Days :   36 €
More than 20 Days :   35 €",€6.00,5,5
Dacia Duster,,suv,Yes,manuale,diesel,"2 to 5 Days :   50 €
6 to 20 Days :   48 €
More than 20 Days :   46 €","2 to 5 Days :   60 €
6 to 20 Days :   58 €
More than 20 Days :   55 €","2 to 5 Days :   55 €
6 to 20 Days :   53 €
More than 20 Days :   50 €","2 to 5 Days :   53 €
6 to 20 Days :   50 €
More than 20 Days :   45 €",€8.00,5,5
Dacia Duster ,,suv,Yes,automatica,diesel,"2 to 5 Days :   65 €
6 to 20 Days :   62 €
More than 20 Days :   60 €","2 to 5 Days :   55 €
6 to 20 Days :   53 €
More than 20 Days :   50 €","2 to 5 Days :   42 €
6 to 20 Days :   58 €
More than 20 Days :   55 €","2 to 5 Days :   58 €
6 to 20 Days :   55 €
More than 20 Days :   53 €",€8.00,5,5
Fiat 500,,economica,Yes,manuale,benzina,"2 to 5 Days :   42 €
6 to 20 Days :   39 €
More than 20 Days :   37 €","2 to 5 Days :   46 €
6 to 20 Days :   43 €
More than 20 Days :   43 €","2 to 5 Days :   43 €
6 to 20 Days :   40 €
More than 20 Days :   38 €","2 to 5 Days :   43 €
6 to 20 Days :   39 €
More than 20 Days :   35 €",€6.00,3,5
Hyundai tucson,,Premium,Yes,automatica,diesel,"2 to 5 Days :   80 €
6 to 20 Days :   75 €
More than 20 Days :   72 €","2 to 5 Days :   70 €
6 to 20 Days :   65 €
More than 20 Days :   60 €","2 to 5 Days :   75 €
6 to 20 Days :   70 €
More than 20 Days :   68 €","2 to 5 Days :   70 €
6 to 20 Days :   65 €
More than 20 Days :   62 €",€11.00,5,5
Citroen c4,,Premium,Yes,automatica,diesel,"2 to 5 Days :   65 €
6 to 20 Days :   62 €
More than 20 Days :   58 €","2 to 5 Days :   70 €
6 to 20 Days :   68 €
More than 20 Days :   68 €","2 to 5 Days :   70 €
6 to 20 Days :   65 €
More than 20 Days :   62 €","2 to 5 Days :   65 €
6 to 20 Days :   60 €
More than 20 Days :   55 €",€9.00,5,5
Dacia Sandero,,economica,Yes,manuale,diesel,"2 to 5 Days :   41 €
6 to 20 Days :   39 €
More than 20 Days :   37 €","2 to 5 Days :   46 €
6 to 20 Days :   44 €
More than 20 Days :   44 €","2 to 5 Days :  42 €
6 to 20 Days :   40 €
More than 20 Days :   38 €","2 to 5 Days :   40 €
6 to 20 Days :   38 €
More than 20 Days :   35 €",€6.00,5,5